POINTID,ZIPCODE,LATITUDE,LONGITUDE,POINTTYPE,TESTCENTERID,TCTYPE,INSTITUTION,POPULATION,ave_u,ave_ca,ave_as,ave_e
346789,90704,33.3992475,-118.4356008,ZIP,,,,302,0,0,0,0
346790,90704,33.331963,-118.343706,TESTCENTER,2272303,HIGH SCHOOL,AVALON HIGH SCHOOL,,0.073630252,119,8.762,166.562
346791,92629,33.4751201,-117.7056751,ZIP,,,,1432,0,0,0,0
346792,92624,33.4514689,-117.6590564,ZIP,,,,470,0,0,0,0
346793,92677,33.5288675,-117.7011753,ZIP,,,,4266,0,0,0,0
346794,92675,33.511714,-117.657409,TESTCENTER,2273269,HIGH SCHOOL,SAN JUAN HILL HIGH SCHOOL,,0.176864305,1360,240.5354545,1562.45
346795,92672,33.42411,-117.6067751,ZIP,,,,2155,0,0,0,0
346796,92673,33.46,-117.63,TESTCENTER,2271206,HIGH SCHOOL,SAN CLEMENTE HIGH SCHOOL,,0.627144894,365.9636364,229.3909091,1530.43
346797,92673,33.4673712,-117.6135092,ZIP,,,,2014,0,0,0,0
346798,92675,33.5018599,-117.6086463,ZIP,,,,2713,0,0,0,0
346799,92694,33.547238,-117.6237612,ZIP,,,,1080,0,0,0,0
346800,92055,33.3877228,-117.4447579,ZIP,,,,2921,0,0,0,0
346801,92107,32.7390553,-117.2454042,ZIP,,,,1441,0,0,0,0
346802,92118,32.6992345,-117.2096422,ZIP,,,,1387,0,0,0,0
346803,92135,32.697543,-117.192775,ZIP,,,,99,0,0,0,0
346804,92106,32.7108183,-117.2376128,ZIP,,,,991,0,0,0,0
346805,92147,32.7248803,-117.2199618,ZIP,,,,124,0,0,0,0
346806,92140,32.7394961,-117.1974012,ZIP,,,,1754,0,0,0,0
346807,92110,32.7652442,-117.2003912,ZIP,,,,2073,0,0,0,0
346808,92037,32.845488,-117.25208,TESTCENTER,2268331,HIGH SCHOOL,LA JOLLA COUNTRY DAY SCHOOL,,0.435026042,190.4,83.2,858.055
346809,92037,32.8563468,-117.2500579,ZIP,,,,6884,0,0,0,0
346810,92109,32.7867719,-117.2342066,ZIP,,,,1050,0,0,0,0
346811,92117,32.8245716,-117.1995183,ZIP,,,,2663,0,0,0,0
346812,92093,32.85,-117.24,TESTCENTER,2274183,4 YR COLLEGE/UNIVERSITY,UNIV OF CALIFORNIA-SAN DIEGO,,0.576650817,400.93,226.4982353,1877.842353
346813,92014,32.9631995,-117.2503091,ZIP,,,,649,0,0,0,0
346814,92075,32.9972485,-117.2605796,ZIP,,,,614,0,0,0,0
346815,92007,33.0232495,-117.2749228,ZIP,,,,475,0,0,0,0
346816,92130,32.9457908,-117.2143658,ZIP,,,,3450,0,0,0,0
346817,92130,32.955533,-117.225201,TESTCENTER,2270201,HIGH SCHOOL,TORREY PINES HIGH SCHOOL,,0.579004384,445.9666667,259.155,1993.86
346818,92121,32.8995918,-117.2012028,ZIP,,,,126,0,0,0,0
346819,92091,33.0159273,-117.243517,ZIP,,,,29,0,0,0,0
346820,92067,33.0209084,-117.1903457,ZIP,,,,753,0,0,0,0
346821,91932,32.5737546,-117.1208718,ZIP,,,,1926,0,0,0,0
346822,92154,32.575276,-117.070725,TESTCENTER,2269903,HIGH SCHOOL,SAN YSIDRO HIGH SCHOOL,,0.208042484,1020,212.2033333,1350.017778
346823,92154,32.575276,-117.070725,TESTCENTER,2271149,HIGH SCHOOL,SOUTHWEST HIGH SCHOOL,,0.272011916,1617.833333,441.1622222,2946.4325
346824,91911,32.6081848,-117.054512,ZIP,,,,7326,0,0,0,0
346825,92155,32.6749839,-117.1617258,ZIP,,,,68,0,0,0,0
346826,92113,32.6967163,-117.1178807,ZIP,,,,5621,0,0,0,0
346827,92101,32.7241028,-117.1709121,ZIP,,,,732,0,0,0,0
346828,92101,32.72,-117.16,TESTCENTER,2273591,HIGH SCHOOL,SAN DIEGO HIGH SCHOOL,,0.448743321,1247,560.9347059,9474.717353
346829,92134,32.724223,-117.146587,ZIP,,,,23,0,0,0,0
346830,92103,32.7474154,-117.1668826,ZIP,,,,597,0,0,0,0
346831,92102,32.7162204,-117.1170571,ZIP,,,,3413,0,0,0,0
346832,92104,32.741501,-117.1279482,ZIP,,,,1956,0,0,0,0
346833,92104,32.745425,-117.127189,TESTCENTER,2271306,HIGH SCHOOL,ST AUGUSTINE HIGH SCHOOL,,0.500105699,272,136.02875,886.58625
346834,92116,32.7649708,-117.1231448,ZIP,,,,1093,0,0,0,0
346835,91950,32.6706465,-117.0946684,ZIP,,,,5226,0,0,0,0
346836,91910,32.6378681,-117.0580313,ZIP,,,,5961,0,0,0,0
346837,92139,32.6798883,-117.0488898,ZIP,,,,2718,0,0,0,0
346838,92105,32.7378272,-117.0926734,ZIP,,,,6375,0,0,0,0
346839,92114,32.705923,-117.05235,TESTCENTER,2272678,HIGH SCHOOL,GOMPERS PREPARATORY ACADEMY,,0.636953913,260.1,168.61,961.7457143
346840,92114,32.705923,-117.05235,TESTCENTER,2273554,HIGH SCHOOL,THE O'FARRELL CHARTER SCHOOL,,0.536034156,527,282.49,1144.88
346841,92114,32.7077564,-117.0550946,ZIP,,,,5914,0,0,0,0
346842,92115,32.764998,-117.0736415,ZIP,,,,6065,0,0,0,0
346843,92182,32.76,-117.07,TESTCENTER,2273701,4 YR COLLEGE/UNIVERSITY,SAN DIEGO STATE UNIVERSITY,,0.490359498,621.265,313.911,4539.469
346844,92173,32.5530213,-117.0424535,ZIP,,,,3134,0,0,0,0
346845,92154,32.5570218,-117.0062142,ZIP,,,,6988,0,0,0,0
346846,91913,32.6194591,-116.9858204,ZIP,,,,3309,0,0,0,0
346847,91915,32.6231854,-116.9490527,ZIP,,,,2064,0,0,0,0
346848,91902,32.6657619,-117.0186567,ZIP,,,,1293,0,0,0,0
346849,91945,32.7331682,-117.0341758,ZIP,,,,2049,0,0,0,0
346850,91977,32.724014,-116.997644,TESTCENTER,2273598,HIGH SCHOOL,MONTE VISTA HIGH SCHOOL,,0.362177084,903.27,327.2864706,2743.84
346851,91977,32.7262367,-116.9943176,ZIP,,,,4835,0,0,0,0
346852,91941,32.7593329,-116.9972468,ZIP,,,,1943,0,0,0,0
346853,91914,32.674004,-116.9439325,ZIP,,,,1277,0,0,0,0
346854,91978,32.7241538,-116.9400932,ZIP,,,,680,0,0,0,0
346855,92111,32.8064758,-117.1688793,ZIP,,,,2782,0,0,0,0
